id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
F1,0,1,1,0,1,1,1,1,1,1,0.36,1,0.14,1,1,1,0.7,1,1,1,0.35,1,0.54,1,0.58,1,1,1,1,1,0.31,1,0.23,0.23,0.45,1,1,1,1,1,0.33,1,1,0.53,1,0.39,1,0.31,1,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.43,1,1,1,1,0.6,1,1,1,1,1,1,1,0.39,1,0.65,1,1,0.52,1,1,0.4,1,1,1,0.66,1,1,1,1,1,1,1,1,1,0.28,1,1,0.5,0.18,0.56,0.42,1,1,1,0.45,1,0.43,1,0.3,1,0.41,0.46,0.58,0.18,0.45,0.35,0.27,0.19,0.21,0.36,0.33,0.45,1,1,0.22,0.31,0.24,0.4,0.32,0.32,0.34,1,0.63,0.27,0.27,0.24,0.37,0.36,0.34
F2,0,1,1,0.35,1,1,1,1,1,1,0,1,0.14,1,1,1,0.59,1,1,1,0.28,1,0.35,1,0.57,1,1,1,1,1,0.27,1,0.35,0.35,0.4,1,1,1,1,1,0.43,1,1,0.47,1,0.39,1,0.24,1,0.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.29,0.32,1,1,1,1,0.28,1,1,1,1,1,1,1,0.63,1,0.28,1,1,0.35,1,1,0.39,1,1,1,0.58,1,1,1,1,1,1,1,1,1,0.54,1,1,0.71,0.41,0.34,0.76,1,1,1,0.35,1,0.4,1,0.38,1,0.5,0.44,0.62,0.28,0.27,0.39,0.33,0.28,0.29,0.3,0.31,0.77,1,1,0.35,0.28,0.26,0.24,0.38,0.31,0.43,1,0.69,0.29,0.33,0.36,0.45,0.41,0.62
F3,0,1,1,0.34,1,1,1,1,1,1,0.35,1,0,1,1,1,1,1,1,1,0.6,1,0.53,1,0.72,1,1,1,1,1,0.37,1,0.4,0.4,0.48,1,1,1,1,1,0.49,1,1,0.56,1,0.37,1,0.48,1,0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.23,0.39,1,1,1,1,0.25,1,1,1,1,1,1,1,0.56,1,0.34,1,1,0.33,1,1,0.47,1,1,1,0.69,1,1,1,1,1,1,1,1,1,0.46,1,1,0.78,0.48,1,0.64,1,1,1,0.51,1,0.83,1,0.43,1,0.57,0.47,0.58,0.32,0.4,0.52,0.42,0.37,0.3,0.57,0.46,0.74,1,1,0.23,0.38,0.23,1,0.48,0.8,0.5,1,0.73,0.45,0.4,0.44,0.42,0.59,0.53
F4,0,1,1,1,1,1,1,1,1,1,0.87,1,0.6,1,1,1,0,1,1,1,0.71,1,0.82,1,0.57,1,1,1,1,1,0.98,1,0.78,0.78,0.83,1,1,1,1,1,1,1,1,0.56,1,0.67,1,0.45,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.35,0.6,1,1,1,1,0.81,1,1,1,1,1,1,1,0.89,1,0.56,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.59,1,1,0.6,1,0.8,1,1,1,1,1,1,0.82,1,1,1,0.77,1,0.87,0.8,0.55,0.75,1,0.45,0.83,1,0.79,0.48,1,1,0.33,0.5,0.45,0.22,0.68,1,0.62,1,0.83,1,1,1,1,0.68,0.87
F5,0,1,1,0.33,1,1,1,1,1,1,0.27,1,0.23,1,1,1,0.46,1,1,1,0,1,0.2,1,0.47,1,1,1,1,1,0.23,1,0.22,0.22,0.45,1,1,1,1,1,0.22,1,1,0.52,1,0.51,1,0.56,1,0.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22,0.44,1,1,1,1,0.3,1,1,1,1,1,1,1,0.28,1,0.37,1,1,0.49,1,1,0.36,1,1,1,0.54,1,1,1,1,1,1,1,1,1,0.52,1,1,0.39,0.22,0.39,0.43,1,1,1,0.32,1,0.39,1,0.2,1,0.23,0.34,0.48,0.15,0.24,0.24,0.18,0.21,0.21,0.22,0.28,0.37,1,1,0.22,0.22,0.14,0.21,0.34,0.19,0.26,1,0.49,0.23,0.19,0.25,0.19,0.27,0.39
F6,0,1,1,0.46,1,1,1,1,1,1,0.31,1,0.19,1,1,1,0.5,1,1,1,0.18,1,0,1,0.33,1,1,1,1,1,0.28,1,0.41,0.41,0.32,1,1,1,1,1,0.36,1,1,0.56,1,0.82,1,0.38,1,0.39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.41,0.4,1,1,1,1,0.51,1,1,1,1,1,1,1,0.67,1,0.62,1,1,0.55,1,1,0.45,1,1,1,0.52,1,1,1,1,1,1,1,1,1,0.48,1,1,0.54,0.44,0.48,0.32,1,1,1,0.44,1,0.4,1,0.32,1,0.28,0.47,0.61,0.18,0.47,0.41,0.31,0.46,0.42,0.39,0.3,0.49,1,1,0.25,0.37,0.22,0.3,0.39,0.41,0.37,1,0.63,0.42,0.35,0.37,0.4,0.36,0.58
F7,0,1,1,0.45,1,1,1,1,1,1,0.45,1,0.23,1,1,1,0.31,1,1,1,0.39,1,0.3,1,0,1,1,1,1,1,0.39,1,0.43,0.43,0.25,1,1,1,1,1,0.31,1,1,0.68,1,0.68,1,0.26,1,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43,0.63,1,1,1,1,0.37,1,1,1,1,1,1,1,0.5,1,0.39,1,1,0.46,1,1,0.31,1,1,1,0.8,1,1,1,1,1,1,1,1,1,0.28,1,1,0.27,0.44,0.44,0.39,1,1,1,0.34,1,0.18,1,0.28,1,0.29,0.54,0.51,0.29,0.65,0.31,0.57,0.38,0.47,0.3,0.26,0.29,1,1,0.24,0.36,0.28,0.19,0.31,0.42,0.35,1,0.54,0.37,0.47,0.37,0.44,0.44,0.25
F8,0,1,1,0.32,1,1,1,1,1,1,0.29,1,0.16,1,1,1,0.72,1,1,1,0.26,1,0.34,1,0.53,1,1,1,1,1,0,1,0.22,0.22,0.35,1,1,1,1,1,0.34,1,1,0.56,1,0.41,1,0.4,1,0.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47,0.44,1,1,1,1,0.51,1,1,1,1,1,1,1,0.71,1,0.58,1,1,0.43,1,1,0.51,1,1,1,0.85,1,1,1,1,1,1,1,1,1,0.35,1,1,0.95,0.62,0.43,0.81,1,1,1,0.44,1,0.57,1,0.3,1,0.31,0.43,0.57,0.28,0.58,0.24,0.24,0.18,0.23,0.42,0.41,0.82,1,1,0.4,0.38,0.2,0.33,0.43,0.41,0.39,1,0.67,0.37,0.34,0.35,0.39,0.36,0.4
F9,0,1,1,0.22,1,1,1,1,1,1,0.33,1,0.16,1,1,1,0.52,1,1,1,0.22,1,0.45,1,0.52,1,1,1,1,1,0.2,1,0,0,0.29,1,1,1,1,1,0.24,1,1,0.49,1,0.31,1,0.4,1,0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.27,1,1,1,1,0.35,1,1,1,1,1,1,1,0.32,1,0.46,1,1,0.52,1,1,0.26,1,1,1,0.69,1,1,1,1,1,1,1,1,1,0.52,1,1,0.27,0.34,0.45,0.38,1,1,1,0.33,1,0.46,1,0.21,1,0.27,0.22,0.3,0.18,0.37,0.19,0.2,0.15,0.18,0.27,0.28,0.45,1,1,0.23,0.33,0.21,0.25,0.28,0.29,0.25,1,0.55,0.24,0.18,0.21,0.22,0.34,0.4
F10,0,1,1,0.22,1,1,1,1,1,1,0.33,1,0.16,1,1,1,0.52,1,1,1,0.22,1,0.45,1,0.52,1,1,1,1,1,0.2,1,0,0,0.29,1,1,1,1,1,0.24,1,1,0.49,1,0.31,1,0.4,1,0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.27,1,1,1,1,0.35,1,1,1,1,1,1,1,0.32,1,0.46,1,1,0.52,1,1,0.26,1,1,1,0.69,1,1,1,1,1,1,1,1,1,0.52,1,1,0.27,0.34,0.46,0.38,1,1,1,0.33,1,0.46,1,0.21,1,0.27,0.22,0.3,0.18,0.37,0.19,0.2,0.15,0.18,0.27,0.28,0.45,1,1,0.23,0.34,0.21,0.25,0.27,0.29,0.26,1,0.55,0.24,0.18,0.21,0.22,0.34,0.4
