id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
F1,0,0,0.05,0.23,0.13,1,0.09,1,1,0.14,0.04,0.22,0.1,0.19,0.08,0.54,0,0.14,0.21,0.17,0.73,0.11,0.96,0.03,0.16,0.12,0.04,0.29,0.26,0.09,0.49,0.2,0.65,0.65,0.14,0.38,0.5,0.01,0.11,0.39,0.37,0.12,0.11,1,0.03,0.8,0.53,0.23,0.06,0.44,0.18,1,0.26,0.02,0.33,0.1,1,0.17,0.23,0.03,0.45,1,0.04,0.4,0.08,1,0.12,0.45,0.12,0.06,0.2,0.07,0.15,0.43,0.14,0.22,1,0.14,1,0.8,0.05,1,0.08,0.44,0.14,0.3,0.25,0.17,1,1,0.09,0.15,0.3,0.09,0.07,1,0.1,1,0.35,1,0.26,0.17,0.06,0.09,1,0.1,1,0.28,0.27,0.28,0.26,0.21,0.88,0.26,0.2,0.37,1,0.65,0.35,1,0.07,1,1,0.33,0.17,0.12,0.1,0.17,0.27,0.31,0.31,0.63,1,0.15,1,0.41,0.09,0.07,0.47,1,0.44,1,0.41,0.34,0.05,0.59
F2,0,0.11,0,0.12,0.14,0.13,0.4,0.74,0.19,0.71,0.14,0.11,0.15,1,0.17,0.23,0.31,0.11,0.08,0.14,0.32,0.19,0.14,0.12,0.3,1,0.22,0.33,0.23,0.44,0.31,1,0.22,0.22,0.12,0.04,0.2,0.12,0.12,0.53,0.11,1,0.12,0.1,0.42,0.25,0.38,0.41,0.16,0.4,0.05,0.21,0.14,0.14,0.18,0.3,0.03,0.13,0.17,0.22,1,0,0.06,0.17,0.32,0.26,0.24,0.58,0.26,0.07,0.21,0.2,0.1,0.18,0.22,0.09,0.02,0.24,0.25,0.47,0.07,0.14,0.57,0.36,0.38,0.14,0.16,0.48,1,0.21,0.21,0.13,0.15,0.32,1,0.29,1,0.23,0.06,0.61,0.07,0.13,0.07,0.02,0.58,0.32,0.62,0.22,1,0.35,0.23,0.1,0.35,0.13,0.09,0.11,0.26,0.35,0.11,0.16,0.1,0.29,0.17,0.19,0.15,0.13,0.09,0.17,0.08,0.13,0.67,0.08,0.26,0.2,0.35,0.12,0.07,0.07,0.42,0.21,0.43,0.17,0.47,1,0.03,0.16
F3,0,0.11,0.03,0,0.04,0.05,0.09,0.17,0.16,0.08,0.07,0.05,0.09,0.08,0.08,0.1,0.08,0.18,0.22,0.16,0.16,0.08,0.09,0.07,0.14,0.27,0.15,0.06,0.1,0.13,0.36,0.36,0.15,0.15,0.11,0.06,0.15,0.13,0.07,0.15,0.12,0.25,0.12,0.14,0.04,0.09,0.11,0.1,0.08,0.43,0.16,0.21,0.08,0.21,0.03,0.13,0.24,0.1,0.06,0.07,0.09,0.12,0.23,0.65,0.07,1,0.05,0.17,0.17,0.02,0.12,0.06,0.17,0.07,0.07,0.06,0.06,0.06,0.06,0.14,0.03,0.5,0.09,0.11,0.12,0.05,0.08,0.12,0.26,0.08,0.07,0.32,0.04,0.19,0.1,0.1,0.07,0.09,0.04,0.09,0.04,0.18,0.04,0.31,0.12,0.07,0.27,0.25,0.1,0.12,0.1,0.03,0.11,0.02,0.06,0.12,0.1,0.1,0.07,0.08,0.05,0.05,0.17,0.07,0.05,0.07,0.05,0.27,0.27,0.11,0.07,0.09,0.05,0.14,0.09,0.12,0.09,0.08,0.09,0.03,0.19,0.15,0.12,0.04,0.14,0.04
F4,0,0.08,0.04,0.06,0,0.05,0.13,0.13,0.13,0.19,0.06,0.05,0.04,0.05,0.14,0.15,0.02,0.15,0.09,0.07,0.25,0.04,0.05,0.05,0.16,0.24,0.13,0.11,0.15,0.16,0.17,0.13,0.28,0.28,0.1,0.02,0.09,1,0.04,0.19,0.1,0.12,0.09,0.16,0.03,0.07,0.25,0.05,0.09,0.57,0.06,0.15,0.11,0.14,0.33,0.08,0.1,0.07,0.06,0.08,0.06,0.07,0.07,0.35,0.06,1,0.06,0.1,0.06,0.03,0.15,0.04,0.09,0.05,0.07,0.09,0.04,1,0.11,0.18,0.05,0.1,0.23,0.15,0.05,0.07,0.18,0.26,0.11,0.36,0.07,0.05,0.03,0.12,1,0.06,0.07,0.12,0.07,0.04,0.08,0.13,0.14,0.03,0.14,0.18,0.12,0.51,0.03,0.65,0.15,0.05,0.07,0.04,0.11,0.1,0.19,0.27,0.12,0.06,0.06,0.12,0.12,0.08,0.06,0.1,0.04,0.04,0.11,0.22,0.06,0.07,0,0.15,0.1,0.23,0.3,0.14,0.08,0.2,0.22,0.15,0.13,0.06,0.1,0.05
F5,0,1,0.04,0.06,0.06,0,0.1,0.24,0.1,0.1,0.02,0.16,0.06,0.07,0.05,0.09,0,0.69,0.2,0.15,0.14,0.09,0.06,0.05,0.24,1,0.13,0.83,0.6,0.15,0.14,0.15,0.2,0.2,0.12,0.06,0.06,0.13,0.04,0.12,0.12,0.18,0.08,0.13,0.05,0.39,0.1,0.08,0.06,0.26,0.05,0.11,0.12,0.11,0.02,0.07,0.1,0.07,0.07,0.11,0.14,0.28,0.62,1,0.06,1,0.05,0.22,0.16,0.08,0.1,0.07,0.11,0.06,0.06,0.06,0.1,0.06,0.19,0.12,0.03,0.09,0.17,0.11,0.1,0.05,0.15,0.13,1,0.11,0.13,0.09,0.12,0.16,0.05,1,0.22,0.18,0.04,0.07,0.06,0.2,0.21,0.13,0.12,0.17,0.08,0.27,0.32,0.16,0.6,0.01,0.13,0.04,0.05,0.12,0.13,1,0.14,0.04,0.21,0.05,0.19,0.12,0.06,0.07,0.05,0.07,0.11,0.17,0.12,0.09,0.04,0.37,0.02,0.09,0.11,0.01,0.11,0.05,0.13,0.19,0.22,0.08,0.11,0.07
F6,0,0.06,0.11,0.12,0.13,0.1,0,0.24,0.23,0.12,0.04,0.08,0.11,0.26,0.05,0.2,0.05,0.4,0.06,1,0.21,0.08,0.18,0.04,0.21,0.15,0.42,0.26,0.2,0.06,0.53,0.1,0.29,0.29,0.12,0.2,0.08,0.09,0.05,0.1,0.06,0.75,0.06,0.06,0.04,0.03,0.19,0.44,0.1,0.26,0.05,0.08,0.3,0.06,0.16,0.09,0.07,0.85,0.37,0.09,0.18,0.89,0.23,0.06,0,0.07,0.21,0.11,0.17,0.03,0.36,0.1,0.31,0.08,0.05,0.11,0.33,0.18,0.26,0.27,0.03,1,0.07,0.35,0.43,0.16,0.44,0.25,0.22,0.28,0.06,0.1,0.08,0.1,0.21,0.21,0.02,0.16,0.08,0.29,0.07,0.06,0.29,1,0.14,0.13,0.11,0.17,0.11,0.05,0.2,0.05,0.08,0.07,0.03,0.06,0.17,0.08,0.07,0.05,0.04,0.17,0.33,0.38,0.09,0.11,0.18,0.12,0.14,0.07,0.15,0.1,0.15,0.17,0.62,0.08,0.1,0.05,0.11,0.05,0.12,0.18,0.07,0.05,0.06,0.05
F7,0,1,0.11,0.12,0.07,0.12,0.13,0,0.15,0.07,0.04,0.05,0.08,0.07,0.12,0.09,0.02,0.06,0.04,0.06,0.12,0.06,0.05,0.08,0.23,0.25,0.15,0.42,0.08,0.1,0.21,0.08,0.12,0.12,0.23,0.09,0.1,0.11,0.11,0.19,0.07,0.09,0.06,0.05,0.04,0.11,0.18,0.15,0.14,0.22,0.07,0.07,0.14,0.05,0.05,0.2,0.06,0.12,0.14,0.1,0.08,0.08,0.08,0.06,0.05,0.15,0.11,0.1,0.11,0.06,0.1,0.05,0.17,0.08,0.02,0.17,0.01,0.1,0.07,0.21,0.05,0.18,0.14,0.13,0.19,0.1,0.1,0.16,0.25,0.24,0.08,0.19,0.05,0.12,0.22,0.24,0.15,0.17,0.06,0.04,0.05,0.26,0.13,0.31,0.17,0.13,0.18,0.1,0.04,0.07,0.08,0.06,0.06,0.04,0.03,0.07,0.12,0.11,0.14,0.07,0.08,0.04,0.17,0.1,0.11,0.04,0.12,0.39,0.07,0.14,0.07,0.04,0.07,0.07,0.08,0.07,0.08,0.08,0.12,0.05,0.14,0.11,0.07,0.02,0.07,0.04
F8,0,0.54,0.04,0.18,0.11,0.08,0.2,0.23,0,0.14,0.06,0.16,0.12,0.05,0.09,0.19,0.04,0.16,0.08,0.16,0.1,0.09,0.06,0.05,0.25,0.17,0.02,0.22,0.11,0.11,0.17,0.19,0.13,0.13,0.13,0.09,0.27,0.3,0.33,0.09,0.06,0.12,0.04,0.1,0.03,0.12,0.09,0.18,0.05,0.18,0.06,0.11,0.11,0.16,0.13,0.12,0.33,0.11,0.16,0.25,0.06,0.21,0.14,0.14,0.15,0.14,0.08,0.08,0.21,0.04,0.1,0.06,0.11,0.19,0.06,0.09,0.12,0.09,0.44,0.17,0.05,0.08,0.05,0.16,0.16,0.08,0.11,0.23,0.12,0.2,0.09,0.14,0.06,0.13,0.09,0.08,0.17,0.23,0.06,0.24,0.08,0.59,0.09,0.07,0.38,0.09,0.12,0.1,0.13,0.18,0.11,0.05,0.07,0.07,0.03,0.06,0.11,0.09,0.09,0.07,0.07,0.06,0.1,0.15,0.05,0.04,0.07,0.1,0.12,0.16,0.06,0.06,0.08,0.11,0.09,0.07,0.05,0.09,0.26,0.06,0.1,0.09,0.1,0.03,0.12,0.03
F9,0,0.15,0.34,0.18,0.34,0.17,0.21,0.23,0.28,0,0.05,0.05,0.08,0.07,0.06,0.22,0.12,0.18,0.15,0.13,0.1,0.08,0.14,0.08,0.57,0.36,0.75,0.56,0.1,0.12,0.11,0.17,0.12,0.12,0.18,0.94,0.24,0.24,0.33,0.26,0.08,0.22,0.06,0.21,0.05,0.25,0.21,0.16,0.1,0.1,0.08,0.24,0.2,0.35,0.16,0.25,0.21,0.08,0.15,0.13,0.16,0.29,0.13,0.2,0.07,0.34,0.07,0.49,0.13,0.05,0.12,0.04,0.51,0.07,0.08,0.07,0.12,0.11,0.07,0.19,0.04,0.17,0.11,0.08,0.27,0.17,0.14,0.25,0.26,0.22,0.09,0.14,0.14,0.28,0.16,0.12,0.11,0.3,0.05,0.1,0.1,0.32,0.33,0.4,0.33,0.12,0.41,0.19,0.13,0.08,0.1,0.09,0.1,0.08,0.04,0.08,0.14,0.2,0.13,0.06,0.13,0.05,0.07,0.1,0.06,0.07,0.06,0.14,0.26,0.21,0.14,0.09,0.05,0.16,0.26,0.28,0.11,0.11,0.13,0.1,0.13,0.09,0.15,0.02,0.44,0.04
F10,0,0.03,0.05,0.12,0.09,0.03,0.06,0.1,0.1,0.04,0,0.09,0.15,0.09,0.1,0.41,0.11,0.09,0.1,0.08,0.1,0.08,0.05,0.04,0.28,0.13,0.2,0.16,0.1,0.09,0.07,0.2,0.16,0.16,0.16,0.27,0.08,0.12,0.04,1,0.14,0.09,0.07,0.14,0.03,0.19,0.14,0.1,0.04,0.21,0.09,0.18,0.09,0.05,0.09,0.04,0.27,0.09,0.07,0.06,0.13,0.27,0.07,0.66,0.05,0.14,0.03,0.19,0.11,0.04,0.09,0.05,0.23,0.1,0.04,0.06,0.1,0.07,0.16,0.1,0.03,0.1,0.12,0.1,0.09,0.07,0.11,0.23,0.17,0.36,0.06,0.14,0.08,0.1,0.17,0.18,0.21,0.17,0.05,0.07,1,0.57,0.22,0.16,0.16,0.33,0.41,0.27,0.38,0.92,0.1,0.11,0.04,0.09,0.03,0.14,0.09,0.35,0.26,0.07,0.12,0.06,0.08,0.14,0.06,0.05,0.05,0.1,0.32,0.36,0.09,0.05,0.07,0.22,0.08,0.04,0.06,1,0.15,0.03,0.09,0.13,0.14,0.12,0.06,0.04
