id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
F1,0,0,0.06,0.11,0.12,0.52,0.27,0.06,1,0.43,0.18,0.34,0.09,0.29,0.19,0.25,0.17,0.15,0.18,0.62,0.4,0.37,0.37,0.16,0.06,0.16,0.14,0.09,0.16,0.18,0.39,0.59,0.87,0.87,0.63,0.27,0.36,0.26,0.03,0.12,0.88,0.09,0.28,0.26,0.05,1,0.81,0.07,0.48,0.38,0.35,0.41,0.23,0.06,0.33,0.18,0.11,0.93,0.46,0.09,0.14,0.31,0.06,0.32,0.33,0.27,0.26,0.5,0.24,0.16,0.2,0.18,0.22,0.18,0.26,0.35,0.04,0.16,0.18,0.35,0.14,0.19,0.05,0.27,0.27,0.12,0.1,0.3,0.08,0.58,0.17,0.78,0.18,0.17,0.08,0.45,0.06,0.12,0.62,0.91,0.3,0.38,0.73,1,0.1,0.18,0.54,0.25,0.29,0.11,0.16,0.25,0.5,0.34,0.41,0.88,0.12,0.08,0.07,0.21,0.15,0.44,0.35,0.3,0.18,0.28,0.24,0.63,0.54,0.15,0.06,0.33,0.19,0.26,0.27,0.1,0.21,0.27,0.19,0.36,0.13,0.34,0.36,0.38,0.31,0.21
F2,0,0.12,0,0.14,0.06,0.21,0.35,0.09,0.29,0.43,0.16,0.3,0.28,0.11,0.2,0.09,0.09,0.26,0.12,0.1,0.17,0.16,0.28,0.49,0.07,0.17,0.06,0.08,0.11,0.22,0.09,0.27,0.34,0.34,0.25,0.15,0.07,0.1,0.07,0.15,0.15,0.16,0.4,0.38,0.1,0.15,0.4,0.09,0.55,0.25,0.2,0.28,0.11,0.23,0.14,0.02,0.12,0.07,0.18,0.12,1,0.32,0.06,0.35,0.37,0.11,0.22,0.46,0.14,0.56,0.3,0.11,0.13,0.12,0.29,0.23,0.18,0.08,0.28,0.28,0.2,0.1,0.06,0.11,0.18,0.06,0.17,0.43,0.17,0.15,0.35,0.36,0.15,0.11,0.09,0.18,0.09,0.13,0.14,0.65,0.14,0.31,0.16,0.12,0.06,0.09,0.42,0.36,0.19,0.17,0.11,0.1,0.2,0.39,0.17,0.15,0.06,0.04,0.04,0.26,0.13,0.23,0.27,0.31,0.15,0.29,0.18,0.29,0.15,0.14,0.09,0.22,0.26,0.17,0.12,0.1,0.16,0.17,0.11,0.19,0.18,0.38,0.18,0.16,0.23,0.51
F3,0,0.15,0.1,0,0.09,0.1,0.18,0.03,0.15,0.18,0.18,0.13,0.23,0.17,0.16,0.17,0.52,0.14,0.22,0.41,0.06,0.18,0.19,0.12,0.06,0.44,0.06,0.17,0.12,0.19,0.08,0.32,0.1,0.1,0.18,0.2,0.09,0.24,0.05,0.15,0.1,0.11,0.08,0.26,0.08,0.21,0.27,0.17,0.31,0.08,0.29,0.4,0.09,0.05,0.2,0.41,0.06,0.2,0.19,0.11,0.24,0.19,0.24,0.26,0.54,0.3,0.21,0.32,0.13,0.25,0.15,0.35,0.16,0.12,0.14,0.22,0.29,0.06,0.14,0.1,0.18,0.1,0.03,0.09,0.23,0.06,0.24,0.12,0.24,0.27,0.42,0.31,0.34,0.11,0.5,0.23,0.2,0.59,0.1,0.7,0.16,0.26,0.12,0.14,0.06,0.1,0.18,0.26,0.15,0.06,0.12,0.22,0.23,0.19,0.15,0.1,0.05,0.04,0.04,0.17,0.08,0.3,0.08,0.15,0.07,0.09,0.13,0.14,0.3,0.12,0.03,0.15,0.19,0.09,0.48,0.06,0.09,0.15,0.27,0.25,0.08,0.08,0.09,0.11,0.32,0.09
F4,0,0.26,0.07,0.14,0,0.07,0.21,0.09,0.31,0.21,0.09,0.22,0.07,0.12,0.21,0.15,0.22,0.26,0.19,0.29,0.09,0.2,0.16,0.1,1,0.26,0.12,0.04,0.1,0.22,0.09,0.48,0.5,0.5,0.22,0.1,0.06,0.6,0.05,0.13,0.35,0.39,0.15,0.22,0.06,0.3,0.22,1,0.51,0.18,0.38,0.35,0.1,0.08,0.24,0.4,0.09,0.11,0.26,0.13,0.09,0.46,0.07,0.39,0.18,0.3,0.13,0.63,0.14,0.25,0.17,0.19,0.08,0.15,0.11,0.32,0.25,0.12,0.15,0.18,0.2,0.05,0.04,0.21,0.07,0.07,0.18,0.17,0.19,0.75,0.31,0.37,0.26,0.1,0.2,0.16,0.13,0.13,0.23,0.23,0.51,0.59,0.21,0.27,0.07,0.15,0.16,0.53,0.27,0.11,0.1,0.13,0.17,0.34,0.37,0.35,0.37,0.05,0.09,0.19,0.18,0.41,0.19,0.31,0.13,0.21,0.19,0.29,0.42,0.14,0.05,0.61,0.21,0.19,0.28,0.16,0.13,0.33,0.54,0.6,0.08,0.21,0.26,0.26,0.51,0.45
F5,0,0.5,0.1,0.07,0.03,0,0.07,0.12,0.23,0.22,0.14,0.12,0.07,0.12,0.15,0.16,0.7,0.14,0.25,0.17,0.07,0.18,0.11,0.08,0.08,0.13,0.1,0.11,0.17,0.1,0.06,0.59,0.23,0.23,0.17,0.08,0.04,0.09,0.07,0.11,0.15,0.15,0.14,0.4,0.07,0.13,0.17,0.08,0.31,0.14,0.33,0.25,0.06,0.08,0.2,0.18,0.07,0.17,0.22,0.15,0.15,0.29,0.1,0.48,0.2,0.22,0.1,0.46,0.2,0.12,0.17,0.22,0.1,0.09,0.15,0.23,0.09,0.08,0.16,0.1,0.2,0.07,0.04,0.13,0.19,0.04,0.13,0.17,0.19,0.16,0.48,0.82,0.39,0.14,0.6,0.21,0.09,0.2,0.27,0.22,0.25,0.25,0.27,0.11,1,0.23,0.11,0.51,0.18,0.1,0.17,0.15,0.17,0.26,0.23,0.15,0.22,0.06,0.07,0.33,0.14,0.37,0.11,0.28,0.19,0.16,0.11,0.17,0.19,0.24,0.04,0.85,0.18,0.12,0.16,0.12,0.16,0.34,0.45,0.83,0.05,0.2,0.19,0.27,0.53,0.18
F6,0,0.18,0.12,0.09,0.07,0.05,0,0.06,0.19,0.11,0.12,0.17,0.17,0.09,0.2,0.08,0.28,0.12,0.19,0.11,0.09,0.26,0.13,0.08,0.06,0.25,0.07,0.23,0.12,0.16,0.29,0.21,0.23,0.23,0.35,0.25,0.07,0.24,0.13,0.06,0.13,0.3,0.1,1,0.07,0.17,0.3,0.11,0.24,0.15,0.36,0.17,0.1,0.02,0.11,0.1,0.06,0.07,0.22,0.14,0.06,0.13,0.08,0.19,0.16,0.13,0.22,0.19,0.08,0.14,0.24,0.15,0.18,0.09,0.07,0.15,0.04,0.04,0.05,0.13,0.15,0.06,0.02,0.08,0.29,0.08,0.11,0.09,0.11,0.13,0.34,0.31,0.09,0.1,0.37,0.13,0.08,0.1,0.17,0.13,0.32,0.17,0.28,0.12,0.11,0.15,0.22,0.23,0.18,0.04,0.12,0.18,0.27,0.24,0.25,0.13,0.04,0.04,0.05,0.33,0.18,0.27,0.16,0.21,0.16,0.26,0.11,0.08,0.34,0.09,0.04,0.35,0.19,0.21,0.16,0.09,0.09,0.16,0.17,0.4,0.08,0.16,0.12,0.16,0.52,0.2
F7,0,0.18,0.14,0.07,0.13,0.36,0.29,0,0.12,0.15,0.11,0.27,0.16,0.17,0.28,0.1,0.15,0.07,0.07,0.33,0.06,0.06,0.12,0.09,0.02,0.17,0.07,0.15,0.09,0.26,0.13,0.21,0.15,0.15,0.13,0.27,0.12,0.29,0.04,0.25,0.08,0.08,0.07,0.32,0.07,0.25,0.15,0.08,0.33,0.08,0.2,0.3,0.07,0.03,0.23,0.14,0.04,0.07,0.15,0.06,0.08,0.1,0.85,0.1,0.25,0.22,0.09,0.29,0.16,0.36,0.11,0.13,0.13,0.08,0.06,0.24,0.25,0.08,0.05,0.07,0.18,0.05,0.01,0.13,0.16,0.05,0.21,0.11,0.16,0.21,0.37,0.16,0.13,0.11,0.41,0.2,0.19,0.19,0.15,0.23,0.1,0.19,0.18,0.2,0.04,0.06,0.13,0.2,0.09,0.06,0.09,0.12,0.13,0.11,0.2,0.08,0.02,0.01,0.03,0.14,0.06,0.2,0.06,0.16,0.09,0.15,0.09,0.16,0.07,0.15,0.01,0.08,0.13,0.07,0.15,0.06,0.05,0.07,0.07,0.14,0.08,0.09,0.08,0.08,0.26,0.09
F8,0,0.52,0.08,0.06,0.08,0.12,0.15,0.02,0,0.14,0.16,0.17,0.21,0.1,0.21,0.2,0.22,0.13,0.1,0.14,0.07,0.11,0.12,0.18,0.04,0.15,0.05,0.16,0.07,0.22,0.06,0.43,0.15,0.15,0.11,0.18,0.05,0.13,0.05,0.1,0.08,0.06,0.1,0.17,0.05,0.1,0.38,0.14,0.26,0.09,0.14,0.32,0.07,0.04,0.13,0.18,0.07,0.16,0.15,0.09,0.03,0.14,0.11,0.11,0.14,0.2,0.06,0.19,0.11,0.23,0.24,0.13,0.16,0.07,0.1,0.18,0.05,0.03,0.09,0.09,0.17,0.06,0.02,0.08,0.16,0.05,0.14,0.1,0.07,0.25,0.41,0.18,0.13,0.09,0.16,0.23,0.23,0.07,0.15,0.29,0.16,0.27,0.18,0.11,0.08,0.1,0.13,0.31,0.11,0.06,0.07,0.1,0.13,0.1,0.16,0.08,0.02,0.03,0.02,0.1,0.09,0.26,0.07,0.17,0.06,0.11,0.13,0.15,0.16,0.11,0.03,0.11,0.14,0.09,0.14,0.06,0.04,0.1,0.08,0.14,0.05,0.08,0.08,0.09,0.25,0.1
F9,0,0.27,0.14,0.08,0.06,0.14,0.11,0.03,0.17,0,0.1,0.1,0.16,0.11,0.13,0.14,0.43,0.15,0.26,0.31,0.06,0.2,0.07,0.12,0.11,0.53,0.17,0.38,0.13,0.27,0.06,0.32,0.1,0.1,0.21,0.15,0.23,0.48,0.2,0.13,0.14,0.23,0.06,0.43,0.05,0.25,0.22,0.1,0.16,0.06,0.14,0.32,0.11,0.08,0.17,0.13,0.08,0.08,0.21,0.08,0.05,0.15,0.08,0.21,0.21,0.24,0.11,0.35,0.07,0.24,0.12,0.12,0.19,0.08,0.06,0.16,0.08,0.09,0.08,0.15,0.12,0.08,0.02,0.06,0.2,0.05,0.14,0.14,0.21,0.18,0.38,0.27,0.21,0.11,0.37,0.18,0.1,0.15,0.13,0.19,0.19,0.39,0.21,0.2,0.14,0.15,0.22,0.51,0.11,0.09,0.13,0.17,0.12,0.35,0.19,0.14,0.05,0.04,0.05,0.16,0.09,0.19,0.1,0.08,0.06,0.11,0.14,0.16,0.18,0.12,0.06,0.16,0.16,0.08,0.26,0.1,0.05,0.11,0.22,0.25,0.05,0.06,0.08,0.09,0.28,0.22
F10,0,0.13,0.06,0.1,0.03,0.11,0.13,0.03,0.23,0.12,0,0.13,0.09,0.13,0.1,0.19,0.26,0.09,0.16,0.29,0.08,0.3,0.13,0.08,0.08,0.24,0.19,0.18,0.07,0.23,0.08,0.23,0.3,0.29,0.1,0.14,0.21,0.32,0.25,0.35,0.14,0.36,0.15,0.13,0.05,0.17,0.31,0.07,0.25,0.11,0.26,0.13,0.05,0.07,0.13,0.08,0.07,0.07,0.17,0.13,0.1,0.13,0.11,0.26,0.16,0.12,0.1,0.35,0.1,0.32,0.05,0.12,0.11,0.07,0.09,0.19,0.09,0.12,0.11,0.18,0.2,0.05,0.02,0.08,0.14,0.05,0.13,0.18,0.1,0.46,0.31,0.33,0.16,0.07,0.22,0.07,0.09,0.19,0.21,0.18,0.12,0.53,0.2,0.23,0.16,0.1,0.11,0.63,0.23,0.12,0.07,0.11,0.15,0.16,0.19,0.14,0.03,0.04,0.06,0.14,0.1,0.15,0.15,0.24,0.12,0.16,0.13,0.28,0.2,0.1,0.04,0.46,0.13,0.16,0.24,0.11,0.07,0.19,0.17,0.21,0.07,0.13,0.18,0.19,0.45,0.36
