id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
F1,0,0,0.11,0.08,0.25,0.14,0.14,0.19,0.49,0.31,0.11,0.26,0.27,0.2,0.27,0.13,0.18,0.08,0.17,0.18,0.25,0.06,0.21,0.3,0.17,0.16,0.27,0.22,0.19,0.06,0.11,0.19,0.08,0.29,0.09,0.34,0.21,0.21,0.31,0.06,0.32,0.12,0.1,0.08,0.11,0.14,0.1,0.11,0.04,0.08,0.21,0.08,0.62,0.14,0.06,0.29,0.08,0.1,0.38,0.19,0.17,0.1,0.07,0.08,0.1,0.06,0.31,0.54,0.08,0.21,0.37,0.28,0.11,0.38,0.46,0.75,0.4,0.27,0.12,0.34,0.55,0.02,0.2,0.16,0.05,0.15,0.2,0.13,0.16,0.05,0.15,0.04,0.18,0.1,0.12,0.31,0.13,0.16,0.03,0.22,0.12,0.09,0.39,0.12,0.04,0.04,0.25,0.15,0.16,0.18,0.06,0.08,0.05,0.19,0.25,0.11,0.35,0.06,0.07,0.13,0.1,0.13,0.21,0.23,0.21,0.22,0.04,0.18,0.2,0.09,0.21,0.15,0.16,0.12,0.2,0.08,0.05,0.11,0.61,0.23,0.39,0.14,0.1,0.18,0.07,0.4
F2,0,0.26,0,0.41,0.19,0.69,0.47,0.2,0.34,1,0.08,0.61,1,0.33,0.15,0.42,0.13,0.23,0.17,0.31,0.18,0.11,0.21,1,1,0.41,1,0.21,0.1,0.04,0.16,0.08,0.41,0.25,0.2,0.34,0.58,0.58,0.43,0.28,0.46,0.08,0.07,0.07,1,0.19,0.22,0.15,0.03,0.57,0.34,0.14,0.45,0.58,0.05,0.32,0.2,0.11,0.08,0.13,0.5,0.22,0.33,0.06,0.36,0.94,0.07,0.5,0.07,0.42,0.61,0.46,0.27,0.24,0.29,0.38,0.33,0.29,0.32,0.27,0.16,0.26,0.05,0.48,0.08,0.57,0.2,0.29,0.37,0.07,0.2,0.16,0.14,0.42,0.09,0.73,0.36,0.28,0.05,0.65,0.21,0.15,1,1,0.07,0.35,0.65,0.28,0.29,0.19,0.21,0.17,0.24,0.75,0.36,1,1,0.59,0.09,0.24,0.27,0.22,0.35,0.49,0.28,0.43,0.13,0.95,0.31,0.15,0.31,0.54,0.02,0.18,0.13,0.25,0.16,0.15,0.28,0.55,0.55,0.65,0.29,0.69,0.15,0.34
F3,0,0.07,0.16,0,0.17,0.2,0.14,0.11,0.21,0.27,0.15,0.2,0.19,0.17,0.16,0.11,0.1,0.04,0.24,0.21,0.19,0.07,0.25,0.1,0.25,0.12,0.13,0.14,0.11,0.06,0.09,0.16,0,0.26,0.07,0.26,0.14,0.14,0.11,0.13,0.13,0.09,0.09,0.1,0.05,0.07,0.09,0.11,0.03,0.17,0.1,0.16,0.21,0.11,0.04,0.22,0.11,0.14,0.34,0.21,0.13,0.08,0.27,0.11,0.19,0.16,0.13,0.32,0.09,0.34,0.35,0.41,0.11,0.24,0.17,0.48,0.13,0.24,0.12,0.11,0.3,0.04,0.11,0.15,0.09,0.08,0.16,0.05,0.25,0.03,0.12,0.03,0.19,0.09,0.13,0.5,0.17,0.25,0.06,0.14,0.15,0.05,0.28,0.16,0.05,0.12,0.14,0.34,0.18,0.06,0.05,0.05,0.07,0.14,0.17,0.05,0.17,0.1,0.04,0.13,0.08,0.11,0.12,0.17,0.14,0.17,0.04,0.14,0.18,0.19,0.09,0.09,0.12,0.12,0.1,0.1,0.04,0.07,0.37,0.24,0.24,0.13,0.11,0.09,0.09,0.17
F4,0,0.31,0.1,0.22,0,0.25,0.15,0.16,0.17,0.2,0.11,0.51,0.22,0.62,0.14,0.58,0.15,0.09,0.2,0.1,0.08,0.09,0.12,0.13,0.52,0.15,0.24,0.28,0.11,0.09,0.09,0.09,0.22,0.21,0.1,0.3,0.26,0.26,0.14,0.12,0.1,0.11,0.13,0.2,0.08,0.34,0.33,0.12,0.1,0.2,0.14,0.12,0.57,0.27,0.06,0.24,0.07,0.13,0.2,0.17,0.22,0.04,0.21,0.14,1,0.11,0.06,0.62,0.17,0.08,0.43,0.38,0.27,0.49,0.33,0.38,0.21,0.31,0.25,0.21,0.22,0.09,0.34,0.31,0.08,0.12,0.23,0.21,0.23,0.04,0.19,0.12,0.23,0.06,0.43,0.34,0.23,0.32,0.07,0.16,0.14,0.16,0.38,0.79,0.06,0.07,0.17,0.08,0.46,0.1,0.39,0.11,0.13,0.24,0.54,0.08,0.24,0.2,0.06,0.32,0.12,0.26,0.23,0.29,0.34,0.5,0.07,0.28,0.23,0.1,0.15,0.21,0.3,0.25,0.12,0.17,0.08,0.13,0.35,0.92,0.58,0.45,0.18,0.98,0.08,0.68
F5,0,0.13,0.27,0.19,0.18,0,0.17,0.21,0.19,0.14,0.06,0.19,0.17,0.14,0.08,0.24,0.09,0.08,0.28,0.3,0.19,0.1,0.21,0.35,0.25,0.1,0.06,0.16,0.06,0.12,0.13,0.31,0.19,0.25,0.06,0.1,0.15,0.15,0.13,0.2,0.22,0.15,0.16,0.14,0.04,0.12,0.07,0.08,0.03,0.12,0.1,0.41,0.1,0.09,0.03,0.36,0.14,0.07,0.22,0.12,0.16,0.11,0.19,0.06,0.2,0.09,0.1,0.46,0.08,0.34,0.22,0.32,0.17,0.25,0.21,0.36,0.48,0.17,0.06,0.13,0.3,0.04,0.08,0.08,0.05,0.07,0.11,0.08,0.25,0.04,0.13,0.06,0.08,0.19,0.14,0.2,0.12,0.28,0.04,0.14,0.11,0.08,0.19,0.12,0.04,0.05,0.11,0.37,0.18,0.12,0.07,0.08,0.1,0.21,0.17,0.04,0.16,0.06,0.03,0.11,0.09,0.08,0.07,0.25,0.22,0.26,0.03,0.11,0.15,0.12,0.13,0.16,0.16,0.12,0.12,0.13,0.03,0.09,0.32,0.17,0.31,0.15,0.09,0.15,0.06,0.2
F6,0,0.13,0.18,0.13,0.12,0.17,0,0.1,0.3,0.13,0.05,0.14,0.14,0.13,0.08,0.16,0.09,0.06,0.19,0.16,0.13,0.05,0.09,0.07,0.18,0.1,0.09,0.11,0.06,0.05,0.11,0.13,0.13,0.19,0.05,0.13,0.15,0.15,0.15,0.15,0.11,0.09,0.09,0.06,0.04,0.06,0.07,0.09,0.04,0.18,0.08,0.08,0.24,0.08,0.06,0.15,0.1,0.13,0.14,0.12,0.18,0.11,0.12,0.1,0.3,0.13,0.07,0.26,0.07,0.34,0.21,0.23,0.13,0.32,0.17,0.14,0.29,0.21,0.07,0.11,0.2,0.04,0.09,0.17,0.05,0.1,0.06,0.07,0.12,0.03,0.19,0.06,0.15,0.06,0.18,0.3,0.14,0.24,0.08,0.18,0.15,0.13,0.1,0.11,0.06,0.03,0.08,0.23,0.09,0.05,0.06,0.05,0.04,0.14,0.2,0.04,0.09,0.08,0.06,0.06,0.06,0.1,0.08,0.17,0.25,0.21,0.04,0.09,0.17,0.15,0.07,0.08,0.19,0.12,0.12,0.08,0.03,0.1,0.18,0.12,0.19,0.12,0.06,0.12,0.11,0.07
F7,0,0.2,0.09,0.13,0.14,0.25,0.12,0,0.14,0.12,0.06,0.22,0.17,0.19,0.09,0.16,0.1,0.06,0.16,0.22,0.25,0.07,0.28,0.22,0.16,0.15,0.12,0.13,0.11,0.15,0.1,0.03,0.13,0.38,0.09,0.17,0.09,0.09,0.13,0.12,0.09,0.22,0.08,0.07,0.07,0.12,0.12,0.12,0.03,0.29,0.08,0.18,0.29,0.11,0.12,0.23,0.07,0.06,0.21,0.3,0.21,0.06,0.13,0.1,0.3,0.19,0.18,0.59,0.07,0.27,0.27,0.28,0.21,0.19,0.19,0.47,0.41,0.23,0.1,0.18,0.41,0.05,0.1,0.09,0.06,0.1,0.1,0.06,0.25,0.03,0.2,0.05,0.32,0.13,0.21,0.32,0.3,0.37,0.11,0.2,0.25,0.3,0.14,0.29,0.09,0.05,0.1,0.16,0.22,0.05,0.1,0.11,0.06,0.3,0.21,0.07,0.45,0.17,0.06,0.19,0.08,0.16,0.08,0.19,0.13,0.14,0.04,0.18,0.2,0.11,0.1,0.19,0.17,0.11,0.21,0.1,0.06,0.14,0.69,0.23,0.22,0.13,0.09,0.21,0.15,0.14
F8,0,0.52,0.15,0.24,0.15,0.22,0.34,0.14,0,0.07,0.11,0.15,0.18,0.3,0.11,0.18,0.07,0.05,0.29,0.18,0.04,0.13,0.18,0.06,0.43,0.08,0.13,0.13,0.12,0.07,0.19,0.05,0.24,0.37,0.06,0.12,0.26,0.26,0.13,0.05,0.07,0.63,0.06,0.14,0.08,0.08,0.13,0.09,0.03,0.21,0.09,0.03,0.28,0.25,0.15,0.19,0.08,0.1,0.31,0.13,0.42,0.03,0.11,0.09,0.14,0.19,0.06,0.82,0.06,0.33,0.3,0.23,0.27,0.26,0.26,0.35,0.1,0.29,0.11,0.2,0.26,0.19,0.19,0.11,0.09,0.06,0.21,0.1,0.06,0.03,0.19,0.06,0.07,0.22,0.12,0.19,0.1,0.19,0.05,0.16,0.17,0.09,0.2,0.09,0.19,0.23,0.13,0.12,0.18,0.13,0.06,0.16,0.16,0.24,0.33,0.08,0.4,0.16,0.12,0.18,0.14,0.17,0.09,0.24,0.17,0.36,0.06,0.1,0.33,0.21,0.06,0.32,0.45,0.13,0.11,0.12,0.05,0.17,0.37,0.59,0.23,0.23,0.14,0.32,0.31,0.28
F9,0,0.38,1,0.35,0.2,0.19,0.17,0.14,0.09,0,0.04,0.4,0.19,0.2,0.11,0.16,0.05,0.05,0.22,0.1,0.14,0.28,0.34,0.09,0.26,0.12,0.1,0.08,0.21,0.07,0.06,0.15,0.35,0.26,0.05,0.13,0.17,0.17,0.17,0.14,0.1,0.09,0.05,0.07,0.07,0.09,0.11,0.1,0.03,0.14,0.06,0.09,0.23,0.15,0.09,0.18,0.07,0.07,0.15,0.17,0.34,0.09,0.12,0.2,0.45,0.44,0.18,1,0.05,0.33,0.22,0.32,0.21,0.24,0.22,0.37,0.11,0.22,0.08,0.22,0.19,0.02,0.13,0.06,0.09,0.06,0.18,0.05,0.16,0.01,0.15,0.05,0.36,0.09,0.22,0.53,0.17,0.29,0.04,0.3,0.19,0.17,0.39,0.07,0.08,0.08,0.3,0.29,0.32,0.17,0.06,0.17,0.1,0.17,0.3,0.07,0.39,0.13,0.1,0.17,0.11,0.1,0.1,0.31,0.2,0.21,0.03,0.13,0.23,0.2,0.1,0.25,0.14,0.19,0.05,0.12,0.07,0.28,0.59,0.41,0.15,0.26,0.17,0.36,0.16,0.2
F10,0,0.27,0.08,0.39,0.23,0.17,0.15,0.13,0.25,0.09,0,0.3,0.21,0.13,0.08,0.2,0.14,0.03,0.19,0.1,0.09,0.12,0.14,0.16,0.19,0.15,0.1,0.1,0.12,0.06,0.08,0.15,0.39,0.2,0.18,0.1,0.18,0.18,0.2,0.29,0.08,0.19,0.08,0.03,0.03,0.83,0.08,0.12,0.03,0.15,0.09,0.18,0.2,0.14,0.13,0.05,0.1,0.02,0.12,0.08,0.13,0.06,0.18,0.12,0.28,0.15,0.17,0.3,0.06,0.06,0.61,0.21,0.1,0.3,0.37,0.31,0.41,0.22,0.07,0.16,0.14,0.04,0.05,0.12,0.07,0.07,0.08,0.06,0.47,0.04,0.27,0.06,0.08,0.16,0.15,0.43,0.14,0.15,0.1,0.12,0.17,0.14,0.28,0.07,0.13,0.04,0.18,0.2,0.27,0.11,0.07,0.05,0.06,0.21,0.29,0.03,0.31,0.09,0.05,0.24,0.11,0.13,0.1,0.34,0.39,0.25,0.06,0.12,0.34,0.1,0.1,0.22,0.17,0.19,0.19,0.07,0.04,0.08,0.4,0.27,0.15,0.12,0.12,0.15,0.11,0.18
