@RELATION doneTrendMicro_JJVB_TF_MIX

@ATTRIBUTE id {F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F3,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F4,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F5,F50,F51,F52,F53,F54,F55,F56,F6,F7,F8,F9,T1,T2,T3,T4,T5,T6,T7}
@ATTRIBUTE label {0,1}
@ATTRIBUTE col1 REAL
@ATTRIBUTE col2 REAL
@ATTRIBUTE col3 REAL
@ATTRIBUTE col4 REAL
@ATTRIBUTE col5 REAL
@ATTRIBUTE col6 REAL
@ATTRIBUTE col7 REAL
@ATTRIBUTE col8 REAL
@ATTRIBUTE col9 REAL
@ATTRIBUTE col10 REAL
@ATTRIBUTE col11 REAL
@ATTRIBUTE col12 REAL
@ATTRIBUTE col13 REAL
@ATTRIBUTE col14 REAL
@ATTRIBUTE col15 REAL
@ATTRIBUTE col16 REAL
@ATTRIBUTE col17 REAL
@ATTRIBUTE col18 REAL
@ATTRIBUTE col19 REAL
@ATTRIBUTE col20 REAL
@ATTRIBUTE col21 REAL
@ATTRIBUTE col22 REAL
@ATTRIBUTE col23 REAL
@ATTRIBUTE col24 REAL
@ATTRIBUTE col25 REAL
@ATTRIBUTE col26 REAL
@ATTRIBUTE col27 REAL
@ATTRIBUTE col28 REAL
@ATTRIBUTE col29 REAL
@ATTRIBUTE col30 REAL
@ATTRIBUTE col31 REAL
@ATTRIBUTE col32 REAL
@ATTRIBUTE col33 REAL
@ATTRIBUTE col34 REAL
@ATTRIBUTE col35 REAL
@ATTRIBUTE col36 REAL
@ATTRIBUTE col37 REAL
@ATTRIBUTE col38 REAL
@ATTRIBUTE col39 REAL
@ATTRIBUTE col40 REAL
@ATTRIBUTE col41 REAL
@ATTRIBUTE col42 REAL
@ATTRIBUTE col43 REAL
@ATTRIBUTE col44 REAL
@ATTRIBUTE col45 REAL
@ATTRIBUTE col46 REAL
@ATTRIBUTE col47 REAL
@ATTRIBUTE col48 REAL
@ATTRIBUTE col49 REAL
@ATTRIBUTE col50 REAL
@ATTRIBUTE col51 REAL
@ATTRIBUTE col52 REAL
@ATTRIBUTE col53 REAL
@ATTRIBUTE col54 REAL
@ATTRIBUTE col55 REAL
@ATTRIBUTE col56 REAL
@ATTRIBUTE col57 REAL
@ATTRIBUTE col58 REAL
@ATTRIBUTE col59 REAL
@ATTRIBUTE col60 REAL
@ATTRIBUTE col61 REAL
@ATTRIBUTE col62 REAL
@ATTRIBUTE col63 REAL

@DATA
F1,0,0,0.32,0.16,0.19,0.71,0.4,0.63,0.22,0.45,0.25,0.31,0.5,0.46,0.27,0.63,0.35,0.24,0.41,0.46,0.36,0.24,0.42,0.19,0.27,0.27,0.45,0.2,0.44,0.43,0.16,0.21,0.42,0.42,0.26,0.21,0.46,0.37,0.37,0.47,0.45,0.48,0.31,0.16,0.38,0.27,0.22,0.45,0.34,0.25,0.35,0.18,0.4,0.26,0.28,0.47,0.43,0.42,0.3,0.57,0.27,0.35,0.21,1
F2,0,0.34,0,0.14,0.11,0.35,0.37,0.71,0.18,0.37,0.3,0.31,0.38,0.35,0.37,0.37,0.28,0.2,0.32,0.3,0.57,0.38,0.61,0.15,0.46,0.26,0.39,0.22,0.34,0.43,0.22,0.58,0.28,0.32,0.23,0.43,0.56,0.44,0.14,0.38,0.32,0.25,0.24,0.36,0.52,0.49,0.63,0.82,0.53,0.19,0.35,0.31,0.26,0.12,0.22,0.25,0.33,0.44,0.29,0.29,0.48,0.32,0.25,0.46
F3,0,0.32,0.27,0,0.1,0.44,0.45,0.75,0.24,0.39,0.32,0.22,0.4,0.28,0.2,0.2,0.36,0.13,0.33,0.36,0.56,0.35,0.64,0.54,0.69,0.39,0.3,0.22,0.33,0.3,0.39,0.56,0.51,0.23,0.15,0.39,0.55,0.37,0.17,0.34,0.34,0.2,0.36,0.68,0.65,1,0.62,0.88,0.55,0.2,0.46,0.59,0.18,0.13,0.16,0.23,0.24,0.33,0.32,0.26,0.4,0.25,0.22,0.48
F4,0,0.72,0.38,0.19,0,0.38,0.49,0.72,0.16,0.48,0.31,0.29,0.34,0.46,0.29,0.36,0.45,0.17,0.34,0.29,0.77,0.37,0.55,1,1,0.41,0.38,0.28,0.35,0.41,1,1,0.82,0.25,0.27,0.79,0.6,0.64,0.23,0.36,0.5,0.33,0.32,0.37,0.81,0.62,0.64,0.9,0.61,0.19,0.38,1,0.26,0.1,0.21,0.27,0.33,0.33,0.4,0.39,0.62,0.43,0.32,0.73
F5,0,0.76,0.35,0.23,0.11,0,0.29,0.63,0.12,0.58,0.25,0.41,0.37,0.38,0.48,0.5,0.26,0.19,0.64,0.33,0.86,0.55,0.82,0.18,0.48,0.59,0.95,0.2,0.49,0.63,0.43,0.54,0.39,0.44,0.29,0.77,0.45,0.65,0.23,0.39,0.42,0.25,0.47,0.28,0.23,0.41,0.72,0.26,0.53,0.25,0.5,0.2,0.27,0.25,0.2,0.47,0.46,0.45,0.51,0.52,1,0.63,0.36,0.57
F6,0,0.64,0.54,0.35,0.2,0.43,0,0.97,0.21,0.51,0.33,0.72,0.53,0.85,0.67,1,0.47,0.29,0.54,0.71,0.73,1,0.89,0.09,0.39,0.37,0.93,0.34,1,0.74,0.61,0.75,0.96,0.58,0.5,0.46,0.79,0.78,0.38,0.58,0.47,0.4,0.5,0.34,0.65,0.53,0.72,0.38,0.45,0.45,1,0.39,0.37,0.33,0.58,0.34,0.79,0.32,0.53,0.75,0.87,0.44,0.55,0.56
F7,0,0.55,0.57,0.31,0.16,0.51,0.53,0,0.14,0.39,0.24,0.38,0.35,0.36,0.9,0.54,0.38,0.22,0.39,0.37,0.48,0.62,0.58,0.09,0.64,0.42,0.85,0.24,0.51,0.68,0.26,0.54,0.27,0.4,0.34,0.41,0.33,0.44,0.24,0.27,0.5,0.25,0.21,0.32,0.28,0.35,0.55,0.67,0.46,0.27,0.31,0.44,0.34,0.28,0.38,0.32,0.56,0.36,0.28,0.56,0.41,0.38,0.25,0.83
F8,0,0.6,0.45,0.31,0.11,0.29,0.36,0.43,0,0.36,0.23,0.42,0.47,0.42,0.58,0.45,0.33,0.26,0.74,0.47,0.8,0.85,0.62,0.69,0.79,0.38,0.56,0.22,0.38,0.69,0.34,0.56,0.39,0.43,0.31,0.46,0.45,0.65,0.22,0.37,0.45,0.2,0.29,0.3,0.33,0.44,0.4,0.52,0.27,0.26,0.48,0.62,0.33,0.23,0.22,0.58,0.4,0.45,0.38,0.61,0.58,0.47,0.35,0.76
F9,0,0.46,0.35,0.19,0.13,0.55,0.33,0.46,0.14,0,0.27,0.3,0.36,0.41,0.51,0.38,0.27,0.17,0.61,0.32,0.37,0.37,0.64,0.26,0.42,0.36,0.55,0.25,0.36,0.51,0.31,0.4,0.35,0.26,0.26,0.25,0.35,0.47,0.18,0.33,0.34,0.2,0.27,0.38,0.31,0.44,0.51,0.53,0.42,0.27,0.46,0.36,0.32,0.26,0.23,0.28,0.39,0.32,0.26,0.41,0.26,0.39,0.26,0.65
F10,0,0.37,0.42,0.23,0.12,0.34,0.31,0.4,0.13,0.39,0,0.42,0.46,0.56,0.52,0.94,0.43,0.29,0.36,0.26,0.77,0.48,0.73,0.15,0.36,0.35,0.53,0.27,0.35,0.51,0.39,0.37,0.42,0.62,0.35,0.22,0.69,0.14,0.23,0.48,0.29,0.38,0.3,0.16,0.44,0.37,0.65,0.69,0.27,0.33,0.32,0.19,0.36,0.16,0.25,0.35,0.56,0.62,0.41,0.57,0.22,0.55,0.22,0.73
