id	label	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	col11	col12	col13	col14	col15	col16	col17	col18	col19	col20	col21	col22	col23	col24	col25	col26	col27	col28	col29	col30	col31	col32	col33	col34	col35	col36	col37	col38	col39	col40	col41	col42	col43	col44	col45	col46	col47	col48	col49	col50	col51	col52	col53	col54	col55	col56	col57	col58	col59	col60	col61	col62	col63
F1	0	0	0.1	0.1	0.29	0.2	0.34	0.09	0.2	0.13	0.35	0.26	0.14	0.18	0.14	0.09	0.08	0.1	0.34	0.25	0.2	0.1	0.46	0.09	0.11	0.38	0.11	0.07	0.14	0.15	0.11	0.07	0.05	0.16	0.27	0	0.07	0.06	0.07	0.3	0.5	0.17	0.38	0.14	0.22	0.13	0.04	0.07	0.14	0.08	0.15	0.04	0.42	0.19	0.08	0.09	0.21	0.25	0.28	0.33	0.11	0.32	0.13	0.12
F2	0	0.41	0	0.09	0.14	0.07	0.39	1	0.35	0.11	0.14	0.15	0.15	0.11	0.12	0.05	0.13	0.09	0.14	0.12	0.15	0.13	0.64	0.06	0.2	0.28	0.11	0.05	0.19	0.09	1	0.3	0.08	0.15	0.2	0.44	0.14	0.11	0.07	0.16	0.34	0.06	0.15	0.22	0.54	0.39	0.57	0.52	0.8	0.06	0.11	0.78	0.37	0.11	0.04	0.06	0.07	0.21	0.31	0.26	0.13	0.08	0.32	0.14
F3	0	0.26	0.06	0	0.12	0.19	0.28	0.15	0.25	0.13	0.07	0.18	0.18	0.12	0.08	0.02	0.13	0.05	0.11	0.2	0.14	0.2	0.77	0.68	0.44	0.71	0.06	0.05	0.1	0.16	0.17	0.13	0.24	0.11	0.09	0.59	0.15	0.14	0.13	0.16	0.39	0.08	0.51	0.43	0.41	0.55	0.27	0.54	0.28	0.1	0.18	0.31	0.2	0.11	0.04	0.06	0.07	0.12	0.32	0.21	0.12	0.16	0.12	0.11
F4	0	0.47	0.05	0.07	0	0.06	0.3	0.2	0.16	0.07	0.05	0.18	0.2	0.09	0.06	0.03	0.13	0.06	0.16	0.1	0.1	0.13	0.42	0.24	0.08	0.27	0.07	0.09	0.11	0.1	0.39	0.21	0.27	0.08	0.15	0.69	0.11	0.15	0.1	0.13	0.32	0.07	0.22	0.21	0.29	0.23	0.21	0.41	0.2	0.1	0.11	0.23	0.26	0.07	0.04	0.04	0.06	0.07	0.16	0.16	0.08	0.21	0.1	0.13
F5	0	0.59	0.05	0.21	0.12	0	0.05	0.33	0.22	0.12	0.13	0.24	0.19	0.25	0.24	0.15	0.09	0.15	0.31	0.13	0.17	0.72	0.3	0.16	0.09	0.44	0.15	0.07	0.33	0.65	1	0.09	0.14	0.17	0.32	0.81	0.09	0.6	0.16	0.17	0.28	0.13	0.58	0.09	0.09	0.19	0.22	0.08	0.3	0.1	0.38	0.14	0.32	0.27	0.07	0.11	0.17	1	0.44	0.66	1	0.41	1	1
F6	0	0.94	0.26	0.29	0.51	0.04	0	1	0.3	0.38	0.04	0.36	0.88	0.33	0.36	0.28	0.17	0.3	0.61	1	0.09	0.81	1	1	0.12	1	0.44	1	1	0.38	1	0.26	0.46	0.28	0.53	1	0.19	0.09	1	0.25	0.72	0	0.12	0.33	1	0.58	0.35	1	0.5	0.88	0.55	0.14	0.74	0.48	0.45	0.07	0.48	1	0.8	0.59	0.83	0.22	1	0.19
F7	0	0.24	1	0.16	0.34	0.3	1	0	0.07	0.03	0.02	0.16	0.19	0.23	0.41	0.05	0.12	0.14	0.19	0.79	0.1	0.46	0.56	1	0.14	0.55	0.09	0.24	0.22	0.63	0.05	0.05	0.11	0.28	0.19	0.37	0.06	0.96	0.2	0.29	0.62	0.09	0.26	0.08	0.15	0.46	0.12	0.14	0.1	0.1	0.1	0.09	0.24	0.61	0.03	0.14	0.17	0.1	0.16	0.53	0.07	0.3	0.07	0.21
F8	0	0.39	0.17	0.19	0.2	0.14	0.22	0.05	0	0.06	0.07	0.21	0.21	0.11	0.13	0.05	0.05	0.11	0.32	0.26	0.09	0.42	0.44	0.52	0.14	0.28	0.04	0.07	0.26	0.83	0.03	0.09	0.1	0.16	0.15	0.08	0.04	0.13	0.11	0.16	0.36	0.06	0.37	0.05	0.21	0.27	0.06	0.27	0.04	0.1	0.42	0.08	0.21	0.22	0.03	0.09	0.13	0.08	0.13	0.43	0.16	0.12	0.17	0.13
F9	0	0.33	0.07	0.12	0.11	0.1	0.36	0.03	0.08	0	0.07	0.12	0.13	0.12	0.26	0.06	0.04	0.06	0.3	0.18	0.07	0.21	0.42	0.48	0.35	0.5	0.14	0.08	0.14	0.18	0.24	0.14	0.43	0.12	0.18	0.27	0.1	0.2	0.12	0.13	0.35	0.07	0.25	0.23	0.21	0.45	0.12	1	0.26	0.11	0.14	0.36	0.4	0.27	0.03	0.08	0.14	0.06	0.19	0.31	0.13	0.19	0.12	0.09
F10	0	1	0.1	0.07	0.09	0.12	0.05	0.02	0.1	0.07	0	0.29	0.13	0.31	0.17	0.41	0.13	0.18	0.46	0.13	0.11	0.18	1	1	0.02	0.46	0.11	0.07	0.19	0.24	0.15	0.11	0.13	0.34	0.37	0.9	1	0.04	0.12	0.27	0.66	0.51	0.41	1	0.42	1	0.26	1	1	0.13	0.14	0.17	0.42	0.12	0.05	0.11	0.17	0.3	0.53	0.49	0.16	0.2	0.16	0.17
F11	0	0.39	0.05	0.1	0.17	0.12	0.2	0.09	0.16	0.07	0.15	0	0.08	0.16	0.13	0.05	0.04	0.08	0.16	0.14	0.08	0.14	0.34	0.39	0.04	0.38	0.08	0.05	0.13	0.14	0.11	0.09	0.11	0.09	0.13	0.23	0.06	0.13	0.12	0.14	0.12	0.03	0.12	0.04	0.22	0.07	0.2	0.16	0.07	0.13	0.08	0.33	0.11	0.12	0.03	0.06	0.13	0.08	0.33	0.3	0.11	0.31	0.07	0.07
F12	0	0.3	0.08	0.14	0.26	0.14	0.68	0.15	0.22	0.1	0.1	0.11	0	0.05	0.22	0.07	0.1	0.23	0.26	0.08	0.17	0.08	0.35	0.29	0.07	0.36	0.18	0.05	0.19	0.17	0.14	0.06	0.19	0.28	0.36	0.12	0.51	0.07	0.1	0.15	0.25	0.04	0.13	0.09	0.28	0.11	0.24	0.81	0.38	0.12	0.11	0.15	0.43	0.18	0.07	0.08	0.13	0.18	0.76	0.33	0.12	0.2	0.06	0.1
F13	0	0.33	0.05	0.08	0.1	0.15	0.23	0.16	0.1	0.08	0.21	0.2	0.05	0	0.1	0.02	0.09	0.05	0.15	0.11	0.09	0.11	0.21	0.1	0.06	0.3	0.06	0.04	0.14	0.14	0.19	0.06	0.31	0.11	0.06	0.31	0.17	0.11	0.13	0.15	0.6	0.03	0.12	0.09	0.28	0.28	0.26	0.15	0.14	0.06	0.08	0.42	0.27	0.1	0.04	0.04	0.11	0.08	0.22	0.2	0.06	0.1	0.1	0.07
F14	0	0.26	0.05	0.05	0.07	0.15	0.23	0.26	0.12	0.18	0.11	0.16	0.18	0.1	0	0.04	0.09	0.11	0.13	0.12	0.17	0.15	0.79	0.16	0.08	0.33	0.07	0.05	0.14	0.18	0.36	0.13	0.36	0.15	0.09	0.36	0.14	0.15	0.14	0.14	0.41	0.06	0.21	0.08	0.23	0.15	0.3	0.23	0.14	0.07	0.06	0.4	0.18	0.15	0.03	0.06	0.07	0.12	0.16	0.15	0.11	0.08	0.13	0.11
F15	0	0.46	0.06	0.05	0.09	0.26	0.51	0.08	0.12	0.11	0.7	0.16	0.16	0.06	0.11	0	0.13	0.07	0.07	0.19	0.08	0.14	0.5	0.35	0.82	0.37	0.04	0.05	0.07	0.12	0.16	0.17	0.81	0.12	0.06	0.16	0.07	0.1	0.11	0.09	0.3	0.02	0.3	0.08	0.3	0.24	0.18	0.29	0.18	0.06	0.1	0.13	0.21	0.12	0.05	0.09	0.11	0.07	0.13	0.15	0.05	0.09	0.09	0.07
F16	0	0.33	0.13	0.19	0.34	0.12	0.25	0.18	0.1	0.06	0.18	0.11	0.2	0.19	0.22	0.1	0	0.08	0.23	0.21	0.45	0.62	0.47	0.16	0.21	0.92	0.14	0.07	0.24	0.38	0.16	0.11	0.2	0.08	0.14	0.17	0.13	0.14	0.32	0.15	0.26	0.14	0.3	1	0.55	0.27	0.17	0.16	0.09	0.14	0.18	1	0.42	0.39	0.04	0.15	0.15	0.3	0.45	0.32	0.2	0.15	0.28	0.53
F17	0	0.3	0.06	0.05	0.11	0.15	0.31	0.14	0.16	0.07	0.18	0.16	0.31	0.08	0.18	0.04	0.06	0	0.26	0.2	0.11	0.12	0.51	0.74	1	0.63	0.06	0.05	0.1	0.15	0.17	0.13	1	0.12	0.13	0.28	0.06	0.06	0.08	0.09	0.13	0.05	0.26	0.18	0.58	0.51	0.08	0.12	0.15	0.08	0.08	0.25	0.26	0.08	0.03	0.1	0.48	0.09	0.25	0.2	0.1	0.1	0.11	0.08
F18	0	0.77	0.08	0.09	0.23	0.23	0.5	0.16	0.36	0.26	0.36	0.24	0.27	0.18	0.16	0.03	0.13	0.2	0	0.11	0.26	0.13	0.24	0	0.18	0.41	0.28	0.04	0.03	0.31	1	0.12	0.17	0.16	0.1	1	0.15	0.14	0.58	0.12	0.14	0.04	0.28	1	0.51	0.38	0.23	0.32	1	0.05	0.17	0.5	0.2	0.25	0.05	0.02	0.11	0.12	0.19	0.86	0.13	0.09	0.31	0.07
F19	0	0.41	0.05	0.12	0.1	0.07	0.59	0.47	0.21	0.11	0.07	0.15	0.06	0.1	0.11	0.06	0.08	0.11	0.08	0	0.12	0.1	0.34	0.13	0.07	0.3	0.11	0.02	0.16	0.07	0.18	0.17	0.29	0.11	0.08	0.2	0.07	0.07	0.07	0.11	0.15	0.03	0.09	0.15	0.26	0.16	0.11	0.21	0.38	0.08	0.05	1	0.23	0.1	0.04	0.07	0.06	0.07	0.25	0.2	0.13	0.07	0.13	0.11
F20	0	0.5	0.09	0.13	0.16	0.14	0.08	0.09	0.11	0.07	0.09	0.14	0.21	0.12	0.24	0.04	0.27	0.1	0.29	0.19	0	0.1	0.67	0.65	0.06	0.23	0.11	0.04	0.14	0.12	0.05	0.07	1	0.12	0.25	0.22	0.06	0.09	0.16	0.17	0.3	0.09	0.18	0.02	0.25	0.21	0.14	0.2	0.12	0.07	0.09	0.04	0.25	0.16	0.06	0.05	0.13	0.08	0.22	0.18	0.03	0.13	0.12	0.05
F21	0	0.17	0.05	0.12	0.13	0.39	0.48	0.27	0.34	0.13	0.1	0.15	0.06	0.09	0.14	0.04	0.24	0.07	0.09	0.1	0.07	0	0.62	0.29	0.02	0.22	0.07	0.03	0.14	0.24	1	0.17	0.54	0.15	0.36	0.25	0.09	0.07	0.16	0.12	0.14	0.04	0.12	0.15	0.31	0.15	0.35	0.52	0.23	0.05	0.05	1	0.19	0.11	0.05	0.06	0.12	0.23	0.35	0.2	0.03	0.13	0.15	0.11
F22	0	0.29	0.1	0.18	0.16	0.06	1	0.13	0.14	0.1	0.22	0.14	0.1	0.07	0.27	0.06	0.07	0.11	0.07	0.13	0.17	0.24	0	0.05	0.03	0.16	0.08	0.06	0.21	0.1	0.03	0.04	0.04	0.22	0.24	0.03	0.03	0.15	0.16	0.14	0.23	0.06	0.25	0.02	0.18	0.06	0.03	0.11	0.1	0.1	0.09	0.03	0.41	0.16	0.06	0.05	0.14	0.07	0.42	0.22	0.07	0.1	0.18	0.09
F23	0	0.33	0.06	0.99	0.58	0.21	1	1	1	0.71	1	1	0.53	0.2	0.35	0.27	0.15	1	0	0.31	1	0.69	0.29	0	0.02	0.75	1	0.1	0.48	0.13	0.04	0.03	0.02	0.14	1	0.18	0.26	0.22	1	0.5	0.59	0.27	1	1	0.71	0.18	0.07	1	0.28	0.83	0.17	0.03	0.44	1	0.21	0.16	1	0.18	1	0.76	0.39	0.11	0.78	1
F24	0	0.66	0.3	1	0.3	0.18	0.27	0.32	0.44	0.82	0.04	0.17	0.2	0.2	0.28	1	0.32	1	0.48	0.27	0.14	0.08	0.29	0.03	0	0.43	0.61	0.18	1	0.14	0.03	0.03	0.04	0.41	0.98	0.09	0.21	0.13	0.42	0.05	0.12	0.07	0.19	1	0.92	0.09	0.06	0.14	0.18	0.41	0.05	0.02	0.33	0.12	1	0.31	0.16	0.16	0.55	0.74	0.35	0.13	0.33	0.55
F25	0	0.21	0.04	0.15	0.09	0.08	1	0.11	0.08	0.11	0.09	0.15	0.1	0.09	0.11	0.04	0.13	0.12	0.1	0.11	0.05	0.08	0.14	0.11	0.04	0	0.05	0.04	0.12	0.09	0.09	0.06	0.1	0.13	0.21	0.35	0.03	0.06	0.07	0.09	0.1	0.04	0.1	0.07	0.16	0.15	0.06	0.22	0.14	0.04	0.05	0.03	0.25	0.09	0.03	0.04	0.07	0.06	0.14	0.13	0.03	0.07	0.06	0.04
F26	0	0.42	0.1	0.09	0.16	0.19	0.62	0.12	0.09	0.2	0.15	0.2	0.33	0.12	0.15	0.03	0.13	0.08	0.48	0.25	0.17	0.17	0.47	1	0.39	0.32	0	0.05	0.1	0.14	0	0.13	1	0.16	0.2	0.7	0.14	0.12	0.12	0.18	0.47	0.08	0.51	0.13	0.88	0.11	0.24	0.4	0.24	0.07	0.05	0.08	0.24	0.09	0.03	0.05	0.11	0.05	0.17	0.13	0.07	0.06	0.03	0.09
F27	0	0.32	0.06	0.08	0.25	0.11	1	0.39	0.16	0.14	0.1	0.14	0.11	0.1	0.13	0.05	0.07	0.07	0.09	0.06	0.08	0.09	0.42	0.11	0.13	0.28	0.05	0	0.18	0.09	0.2	0.14	0.42	0.08	0.11	0.45	0.15	0.13	0.12	0.1	0.27	0.03	0.16	0.3	0.64	0.61	0.46	0.65	0.44	0.11	0.11	1	0.26	0.12	0.03	0.07	0.06	0.15	0.36	0.25	0.09	0.13	0.17	0.06
F28	0	0.28	0.09	0.08	0.14	0.22	1	0.16	0.26	0.11	0.13	0.17	0.18	0.15	0.16	0.03	0.12	0.07	0.03	0.2	0.11	0.17	0.68	0.25	0.33	0.41	0.05	0.08	0	0.2	0.39	0.29	0.27	0.15	0.16	0.5	0.09	0.11	0.11	0.09	0.26	0.06	0.17	0.12	0.24	0.26	0.5	0.17	0.14	0.04	0.1	0.33	0.15	0.14	0.02	0.07	0.15	0.09	0.15	0.14	0.06	0.08	0.07	0.09
F29	0	0.28	0.04	0.11	0.11	0.42	0.27	0.44	0.79	0.13	0.16	0.18	0.15	0.14	0.19	0.05	0.18	0.1	0.26	0.08	0.09	0.28	0.3	0.06	0.04	0.31	0.07	0.04	0.19	0	0.04	0.09	0.09	0.15	0.15	0.34	0.09	0.15	0.08	0.12	0.22	0.05	0.17	0.18	0.63	0.14	0.21	0.73	0.15	0.13	0.09	0.07	0.21	0.1	0.05	0.05	0.08	0.08	0.21	0.19	0.07	0.11	0.08	0.11
F30	0	0.47	1	0.26	1	1	1	0.08	0.06	0.38	0.22	0.29	0.27	0.42	0.82	0.14	0.16	0.24	1	0.46	0.08	1	0.22	0.05	0.02	0.67	0	0.18	0.81	0.09	0	0.02	0.03	1	0.67	0.12	0.14	0.78	0.11	0.08	0.34	0.47	0.74	0.05	0.41	0.17	0.1	0.13	0.09	0.63	0.73	0.01	0.69	0.59	0.06	0.47	0.16	0.1	1	0.58	0.08	1	0.17	0.23
F31	0	0.19	0.21	0.14	0.36	0.09	0.27	0.06	0.13	0.15	0.11	0.17	0.08	0.09	0.21	0.1	0.08	0.13	0.16	0.3	0.08	0.31	0.17	0.02	0.01	0.29	0.09	0.09	0.42	0.13	0.01	0	0.03	0.22	0.32	0.14	0.12	1	0.18	0.11	0.17	0.08	0.34	0.21	0.36	0.15	0.07	0.17	0.11	0.16	0.14	0.03	0.44	0.19	0.13	0.12	0.11	0.1	0.64	0.66	0.18	0.14	0.15	0.22
F32	0	0.15	0.06	0.26	0.5	0.14	0.5	0.12	0.15	0.5	0.13	0.22	0.27	0.5	0.61	0.49	0.14	1	0.22	0.53	1	1	0.2	0.02	0.02	0.52	0.77	0.28	0.41	0.14	0.02	0.03	0	0.41	0.59	0.3	0.17	0.52	0.16	0.23	0.25	0.4	0.56	1	0.51	0.09	0.04	1	0.06	0.35	0.41	0.03	0.2	0.32	0.22	0.12	0.19	0.12	0.43	0.89	0.04	0.86	0.32	0.62
F33	0	0.29	0.07	0.08	0.09	0.1	0.18	0.18	0.15	0.08	0.21	0.11	0.24	0.1	0.16	0.04	0.03	0.08	0.13	0.13	0.08	0.17	0.65	0.06	0.12	0.43	0.08	0.03	0.13	0.14	0.44	0.14	0.25	0	0.11	0.78	0.1	0.1	0.1	0.07	0.11	0.05	0.28	0.16	0.53	0.19	0.54	0.25	0.19	0.08	0.11	0.18	0.25	0.19	0.03	0.07	0.07	0.11	0.29	0.23	0.04	0.21	0.1	0.06
F34	0	0.53	0.1	0.06	0.18	0.21	0.38	0.13	0.15	0.13	0.25	0.17	0.33	0.06	0.1	0.03	0.07	0.09	0.08	0.1	0.2	0.43	0.77	1	0.31	0.73	0.1	0.05	0.16	0.16	0.32	0.22	0.39	0.12	0	1	0.09	0.07	0.22	0.14	0.3	0.03	0.26	0.2	1	1	0.23	0.24	0.19	0.09	0.32	0.17	0.31	0.28	0.09	0.09	0.07	0.12	0.13	0.27	0.1	0.21	0.13	0.09
