id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
src/main/java/Dataset/TF/F/Encryption is a good thing.txt,0,0,0.48,0.17,0.4,0.46,0.79,0.35,0.58,0.42,0.45,0.25,0.37,0.3,0.24,0.41,0.2,0.2,0.27,0.46,0.45,0.43,0.91,0.64,0.45,0.19,0.57,0.24,0.35,0.29,0.33,0.22,0.32,0.32,0.45,0.45,0.53,0.51,0.21,0.51,0.85,0.39,0.34,0.51,0.46,0.51,0.58,0.58,0.38,0.55,0.49,0.56,0.97,0.3,0.43,0.27,0.27,0.65,0.55,0.52,0.35,0.6,0.49,0.19,0.38,0.3,0.58,0.35,0.67,0.4,0.44,0.33,0.35,0.44,0.4,0.31,0.15,0.37,0.62,0.47,0.3,0.38,0.23,0.31,0.51,0.29,0.43,0.76,0.24,0.58,0.56,0.64,0.43,0.53,0.41,0.38,0.38,0.37,0.37,0.49,0.76,0.46,0.31,0.23,0.3,0.34,0.52,0.33,0.34,0.49,0.35,1,0.52,0.49,0.42,0.85,0.37,0.53,0.45,0.27,0.19,0.44,0.43,0.36,0.45,0.29,0.29,0.69,0.28,0.42,0.25,0.57,0.47,0.44,0.28,0.54,0.41,0.38,0.37,0.42,0.62,0.36,0.32,0.47,0.47,0.53
src/main/java/Dataset/TF/F/Leave a bad review_ This IoT garage door opener maker may brick your device.txt,0,0.34,0,0.19,0.2,0.5,0.47,0.36,0.3,0.45,0.56,0.45,0.53,0.34,0.33,0.38,0.35,0.38,0.22,0.33,0.39,0.33,0.3,0.47,0.53,0.33,0.46,0.25,0.36,0.29,0.42,0.29,0.26,0.26,0.24,0.36,0.27,0.3,0.44,0.46,0.33,0.34,0.31,0.54,0.48,0.56,0.52,0.35,0.5,0.59,0.33,0.4,0.4,0.28,0.45,0.22,0.53,0.36,0.35,0.58,0.42,0.39,0.34,0.54,0.4,0.31,0.41,0.41,0.64,0.51,0.25,0.31,0.31,0.38,0.39,0.38,0.27,0.5,0.64,0.48,0.39,0.46,0.18,0.64,0.45,0.32,0.38,0.36,0.33,0.36,0.63,0.42,0.39,0.15,0.36,0.35,0.3,0.2,0.26,0.63,0.45,0.33,0.27,0.25,0.31,0.23,0.44,0.23,0.3,0.45,0.36,0.32,0.34,0.67,0.23,0.33,0.32,0.35,0.49,0.52,0.21,0.32,0.54,0.36,0.45,0.26,0.29,0.46,0.39,0.45,0.27,0.43,0.53,0.46,0.3,0.48,0.4,0.31,0.42,0.79,0.45,0.36,0.23,0.5,0.28,0.46
src/main/java/Dataset/TF/F/Why it's a good idea to clear your browser history and cookies.txt,0,0.35,0.54,0,0.35,0.37,0.63,0.34,0.3,0.39,0.43,0.26,0.51,0.29,0.25,0.64,0.59,0.28,0.3,0.39,0.19,0.4,0.37,0.46,0.68,0.71,0.48,0.3,0.4,0.52,0.19,0.32,0.16,0.16,0.52,0.37,0.31,0.37,0.27,0.45,0.34,0.25,0.24,0.67,0.6,0.88,0.48,0.67,0.44,0.3,0.54,0.52,0.48,0.3,0.51,0.42,0.55,0.47,0.38,0.61,0.53,0.57,0.63,0.48,0.56,0.7,0.39,0.38,0.77,0.38,0.38,0.48,0.51,0.42,0.59,0.34,0.65,0.42,0.61,0.33,0.27,0.53,0.23,0.45,0.51,0.26,0.51,0.41,1,0.74,0.91,0.59,0.65,0.69,0.94,0.48,0.35,0.65,0.21,0.71,0.54,0.29,0.25,0.29,0.29,0.25,0.5,0.37,0.49,0.51,0.4,0.69,0.53,0.54,0.29,0.34,0.49,0.6,0.46,0.41,0.23,0.7,0.28,0.29,0.46,0.23,0.25,0.48,0.37,0.45,0.28,0.39,0.57,0.4,0.7,0.38,0.27,0.33,0.83,0.66,0.55,0.22,0.23,0.49,0.41,0.37
src/main/java/Dataset/TF/F (2)/4 Things that Make Cloud Compliance Harder Than You Think.txt,0,0.35,0.24,0.15,0,0.29,0.66,0.34,0.32,0.42,0.57,0.25,0.42,0.32,0.37,0.33,0.19,0.39,0.3,0.18,0.32,0.24,0.28,0.47,0.63,0.41,0.47,0.22,0.48,0.41,0.24,0.2,0.25,0.25,0.3,0.24,0.29,0.41,0.34,0.5,0.39,0.24,0.24,0.42,0.56,0.74,0.41,0.48,0.4,0.44,0.74,0.44,0.46,0.33,0.45,0.23,0.86,0.27,0.42,0.51,0.27,0.42,0.3,0.5,0.41,0.39,0.45,0.38,0.58,0.41,0.52,0.41,0.22,0.49,0.32,0.27,0.26,0.6,0.76,0.48,0.25,0.35,0.14,0.43,0.31,0.24,0.39,0.24,0.33,0.59,0.58,0.62,0.42,0.37,0.36,0.35,0.34,0.33,0.19,0.4,0.76,0.37,0.14,0.28,0.28,0.32,0.26,0.32,0.66,0.51,0.48,0.46,0.5,0.75,0.36,0.39,0.34,0.52,0.48,0.48,0.31,0.51,0.38,0.36,0.39,0.25,0.3,0.37,0.42,0.54,0.31,0.57,0.78,0.49,0.29,0.25,0.34,0.33,0.44,0.74,0.22,0.32,0.29,0.57,0.62,0.58
src/main/java/Dataset/TF/F (2)/Access Management and the Automation of Things.txt,0,0.39,0.59,0.15,0.28,0,0.49,0.46,0.3,0.31,0.46,0.29,0.35,0.26,0.28,0.53,0.43,0.36,0.23,0.32,0.32,0.35,0.39,0.32,0.47,0.08,0.4,0.17,0.46,0.41,0.16,0.33,0.22,0.22,0.41,0.36,0.17,0.21,0.27,0.29,0.44,0.4,0.27,0.31,0.5,0.49,0.29,0.45,0.27,0.38,0.6,0.4,0.37,0.31,0.37,0.36,0.54,0.39,0.28,0.53,0.54,0.47,0.55,0.42,0.44,0.45,0.19,0.36,0.58,0.35,0.48,0.43,0.29,0.49,0.34,0.38,0.17,0.33,0.42,0.38,0.38,0.39,0.17,0.32,0.36,0.18,0.33,0.28,0.37,0.6,0.6,0.79,0.47,0.44,0.36,0.53,0.35,0.33,0.42,0.39,0.48,0.31,0.3,0.34,0.43,0.58,0.33,0.36,0.45,0.37,0.46,0.41,0.41,0.81,0.42,0.44,0.57,0.35,0.48,0.35,0.23,0.52,0.27,0.38,0.61,0.27,0.22,0.47,0.36,0.53,0.21,0.56,0.57,0.31,0.24,0.48,0.35,0.56,0.43,0.65,0.35,0.38,0.29,0.72,0.65,0.48
src/main/java/Dataset/TF/F (2)/Are Job Seekers at Risk of a Cyber Breach_.txt,0,0.6,0.49,0.23,0.56,0.44,0,0.59,0.51,0.36,0.68,0.53,0.7,0.26,0.47,0.46,0.35,0.36,0.64,0.51,0.3,0.49,0.36,0.51,0.54,0.25,0.31,0.18,0.86,0.61,0.36,0.49,0.3,0.3,0.66,0.5,0.22,0.26,0.79,0.33,0.27,0.43,0.28,0.85,0.71,0.59,0.49,0.36,0.46,0.51,0.45,0.27,0.34,0.28,0.43,0.12,0.43,0.24,0.5,0.7,0.63,0.37,0.68,0.51,0.54,0.41,0.56,0.57,0.36,0.56,0.5,0.41,0.46,0.64,0.37,0.62,0.22,0.36,0.45,0.41,0.48,0.46,0.27,0.45,0.3,0.45,0.33,0.42,0.12,0.48,0.54,0.55,0.26,0.26,0.52,0.4,0.57,0.48,0.36,0.33,0.39,0.43,0.38,0.56,0.52,0.53,0.41,0.18,0.46,0.39,0.86,0.3,0.49,0.55,0.55,0.27,0.64,0.31,0.57,0.66,0.42,0.74,0.32,0.51,0.67,0.39,0.48,0.46,0.76,0.44,0.24,0.6,0.65,0.59,0.44,0.5,0.29,0.34,0.58,0.74,0.54,0.39,0.31,0.45,0.52,0.54
src/main/java/Dataset/TF/F (2)/Ask a Security Professional- WordPress Database Security Part One — Anatomy of WordPress.txt,0,0.37,0.53,0.17,0.41,0.57,0.82,0,0.41,0.32,0.49,0.34,0.33,0.3,0.32,0.29,0.7,0.36,0.33,0.41,0.21,0.31,0.39,0.38,0.38,0.45,0.4,0.34,0.37,0.5,0.31,0.29,0.18,0.18,0.34,0.26,0.36,0.29,0.52,0.53,0.35,0.58,0.18,0.5,0.42,0.55,0.33,0.32,0.55,0.29,0.28,0.35,0.45,0.23,0.35,0.4,0.39,0.34,0.3,0.33,0.46,0.38,0.43,0.27,0.47,0.52,0.31,0.47,0.76,0.54,0.44,0.21,0.42,0.41,0.33,0.33,0.38,0.35,0.38,0.32,0.37,0.42,0.15,0.46,0.36,0.33,0.42,0.37,0.26,0.41,0.49,0.31,0.39,0.35,0.41,0.53,0.47,0.23,0.22,0.33,0.41,0.44,0.27,0.42,0.46,0.32,0.26,0.45,0.42,0.41,0.37,0.36,0.51,0.38,0.27,0.35,0.33,0.26,0.41,0.17,0.17,0.44,0.23,0.25,0.4,0.24,0.22,0.42,0.42,0.26,0.1,0.31,0.44,0.32,0.39,0.52,0.31,0.2,0.41,0.35,0.48,0.31,0.2,0.33,0.46,0.53
src/main/java/Dataset/TF/F (2)/Ask a Security Professional- WordPress Database Security Part Two — Best Practices.txt,0,0.45,0.32,0.11,0.28,0.27,0.53,0.3,0,0.29,0.31,0.21,0.43,0.14,0.25,0.35,0.51,0.46,0.25,0.33,0.2,0.27,0.34,0.44,0.38,0.34,0.41,0.21,0.29,0.41,0.21,0.38,0.19,0.19,0.37,0.41,0.19,0.21,0.36,0.28,0.27,0.32,0.27,0.35,0.3,0.33,0.44,0.32,0.45,0.39,0.23,0.36,0.47,0.24,0.43,0.39,0.49,0.41,0.41,0.5,0.31,0.52,0.37,0.27,0.38,0.58,0.25,0.44,0.5,0.29,0.24,0.27,0.37,0.29,0.41,0.31,0.32,0.29,0.41,0.31,0.28,0.34,0.19,0.38,0.58,0.23,0.33,0.29,0.15,0.57,0.56,0.33,0.44,0.37,0.37,0.42,0.32,0.3,0.18,0.46,0.42,0.3,0.26,0.34,0.39,0.35,0.34,0.27,0.42,0.41,0.29,0.41,0.34,0.41,0.32,0.27,0.33,0.43,0.28,0.3,0.23,0.42,0.24,0.19,0.28,0.21,0.31,0.3,0.26,0.55,0.38,0.3,0.56,0.39,0.45,0.61,0.35,0.25,0.38,0.54,0.27,0.22,0.21,0.37,0.4,0.34
src/main/java/Dataset/TF/F (2)/Bracing for the Future of Information Security Threats.txt,0,0.52,0.79,0.23,0.6,0.45,0.6,0.38,0.46,0,0.46,0.3,0.59,0.31,0.28,0.73,0.83,0.82,0.6,0.72,0.21,0.57,0.43,0.41,0.7,0.73,0.95,0.56,0.73,0.91,0.22,0.4,0.15,0.15,0.53,0.48,0.64,0.9,0.73,0.8,0.44,0.89,0.23,0.74,0.61,0.96,0.53,0.49,0.46,0.21,0.46,0.44,0.61,0.37,0.76,0.6,0.61,0.46,0.43,0.57,0.59,0.6,0.59,0.59,0.79,0.8,0.52,0.79,0.5,0.46,0.58,0.35,0.82,0.48,0.44,0.33,0.42,0.81,0.58,0.58,0.39,0.71,0.29,0.46,0.71,0.29,0.4,0.48,0.59,0.64,0.81,0.78,0.68,0.51,0.54,0.7,0.65,0.64,0.3,0.54,0.57,1,0.31,0.6,0.9,0.75,0.66,0.44,0.6,0.77,0.73,0.59,0.53,0.83,0.36,0.44,0.5,0.58,0.77,0.38,0.25,0.53,0.34,0.23,0.42,0.27,0.4,0.68,0.72,0.58,0.51,0.39,0.65,0.29,0.62,0.79,0.35,0.29,0.8,0.84,0.4,0.14,0.26,0.36,0.57,0.69
src/main/java/Dataset/TF/F (2)/Cybersecurity Industry Must Adopt Cyberdefense Tech that Utilizes Analytics- Artificial Intelligence.txt,0,0.27,0.48,0.13,0.39,0.33,0.55,0.28,0.24,0.22,0,0.29,0.3,0.21,0.21,0.45,0.4,0.34,0.22,0.41,0.19,0.29,0.29,0.17,0.42,0.3,0.67,0.2,0.25,0.41,0.19,0.28,0.18,0.18,0.27,0.23,0.28,0.33,0.28,0.36,0.25,0.34,0.18,0.26,0.38,0.43,0.27,0.34,0.33,0.21,0.39,0.28,0.37,0.25,0.32,0.25,0.39,0.4,0.32,0.36,0.45,0.48,0.4,0.52,0.37,0.35,0.25,0.33,0.56,0.27,0.19,0.35,0.31,0.27,0.39,0.23,0.19,0.29,0.34,0.38,0.24,0.36,0.17,0.37,0.4,0.22,0.42,0.31,0.26,0.75,0.41,0.4,0.39,0.27,0.41,0.32,0.35,0.37,0.19,0.24,0.31,0.4,0.31,0.29,0.29,0.34,0.31,0.33,0.47,0.49,0.25,0.53,0.32,0.31,0.25,0.25,0.28,0.46,0.48,0.27,0.16,0.35,0.29,0.24,0.29,0.23,0.23,0.47,0.25,0.39,0.3,0.45,0.58,0.33,0.34,0.56,0.42,0.29,0.44,0.6,0.51,0.21,0.26,0.34,0.5,0.4
